ID,Band0,Band1,Band2,Class
4347,91.0,42.0,38.0,1
4348,98.0,47.0,43.0,1
4349,95.0,44.0,40.0,1
4350,103.0,54.0,50.0,1
4351,102.0,57.0,54.0,1
4352,69.0,28.0,26.0,1
4353,48.0,13.0,9.0,1
4354,58.0,29.0,25.0,1
4355,42.0,14.0,10.0,1
4356,49.0,20.0,16.0,1
4357,52.0,23.0,19.0,1
4358,65.0,34.0,29.0,1
4359,80.0,45.0,39.0,1
4360,82.0,41.0,37.0,1
4361,68.0,23.0,18.0,1
4362,77.0,26.0,23.0,1
4363,97.0,43.0,41.0,1
4364,93.0,40.0,36.0,1
4365,119.0,41.0,37.0,1
4366,129.0,62.0,56.0,1
4367,78.0,19.0,15.0,1
4368,76.0,27.0,23.0,1
4369,55.0,16.0,11.0,1
4370,56.0,23.0,18.0,1
4371,58.0,27.0,22.0,1
4372,48.0,15.0,10.0,1
4373,54.0,16.0,13.0,1
4374,53.0,13.0,11.0,1
4375,72.0,32.0,30.0,1
4376,73.0,33.0,31.0,1
4377,61.0,26.0,22.0,1
4378,48.0,15.0,10.0,1
4379,49.0,16.0,11.0,1
4380,50.0,12.0,9.0,1
4381,48.0,4.0,3.0,1
4382,61.0,11.0,10.0,1
4383,82.0,27.0,24.0,1
4384,73.0,9.0,7.0,1
4385,84.0,13.0,11.0,1
4386,112.0,36.0,36.0,1
4387,120.0,42.0,40.0,1
4388,110.0,32.0,30.0,1
4389,109.0,35.0,34.0,1
4390,110.0,40.0,38.0,1
4391,91.0,23.0,22.0,1
4392,106.0,38.0,37.0,1
4393,123.0,53.0,53.0,1
4394,124.0,54.0,52.0,1
4395,117.0,47.0,45.0,1
4396,113.0,45.0,42.0,1
4397,69.0,5.0,3.0,1
4398,72.0,11.0,10.0,1
4399,96.0,32.0,30.0,1
4400,109.0,45.0,43.0,1
4401,81.0,16.0,14.0,1
4402,93.0,29.0,27.0,1
4403,77.0,13.0,11.0,1
4404,89.0,30.0,26.0,1
4405,93.0,38.0,35.0,1
4406,76.0,25.0,22.0,1
4407,79.0,30.0,26.0,1
4408,69.0,20.0,16.0,1
4409,102.0,53.0,48.0,1
4410,96.0,47.0,42.0,1
4411,71.0,23.0,19.0,1
4412,69.0,24.0,19.0,1
4413,64.0,23.0,19.0,1
4414,78.0,40.0,37.0,1
4415,76.0,43.0,38.0,1
4416,47.0,16.0,13.0,1
4417,51.0,17.0,15.0,1
4418,56.0,23.0,18.0,1
4419,79.0,44.0,38.0,1
4420,79.0,42.0,36.0,1
4421,84.0,43.0,37.0,1
4422,95.0,52.0,46.0,1
4423,90.0,42.0,38.0,1
4424,73.0,24.0,20.0,1
4425,76.0,28.0,24.0,1
4426,110.0,36.0,33.0,1
4427,105.0,44.0,39.0,1
4428,49.0,0.0,0.0,1
4429,52.0,12.0,10.0,1
4430,49.0,18.0,15.0,1
4431,51.0,23.0,19.0,1
4432,51.0,26.0,21.0,1
4433,47.0,18.0,14.0,1
4434,46.0,11.0,7.0,1
4435,52.0,12.0,10.0,1
4436,61.0,20.0,16.0,1
4437,69.0,28.0,24.0,1
4438,79.0,40.0,35.0,1
4439,74.0,34.0,32.0,1
4440,62.0,22.0,20.0,1
4441,53.0,9.0,6.0,1
4442,58.0,10.0,8.0,1
4443,66.0,12.0,10.0,1
4444,79.0,19.0,18.0,1
4445,98.0,33.0,31.0,1
4446,90.0,19.0,17.0,1
4447,119.0,41.0,39.0,1
4448,119.0,39.0,38.0,1
4449,118.0,40.0,38.0,1
4450,93.0,19.0,18.0,1
4451,106.0,35.0,33.0,1
4452,97.0,25.0,26.0,1
4453,93.0,21.0,22.0,1
4454,120.0,46.0,45.0,1
4455,137.0,63.0,62.0,1
4456,136.0,62.0,61.0,1
4457,105.0,35.0,35.0,1
4458,83.0,19.0,19.0,1
4459,104.0,43.0,42.0,1
4460,111.0,51.0,50.0,1
4461,102.0,42.0,41.0,1
4462,81.0,21.0,20.0,1
4463,83.0,23.0,22.0,1
4464,106.0,47.0,43.0,1
4465,101.0,43.0,41.0,1
4466,91.0,35.0,34.0,1
4467,88.0,34.0,32.0,1
