ID,Band0,Band1,Band2,Class
5345,67.0,55.0,39.0,3
5346,89.0,76.0,60.0,3
5347,85.0,73.0,57.0,3
5348,76.0,64.0,48.0,3
5349,71.0,62.0,47.0,3
5350,60.0,51.0,36.0,3
5351,56.0,48.0,35.0,3
5352,61.0,53.0,40.0,3
5353,54.0,45.0,30.0,3
5354,46.0,37.0,22.0,3
5355,62.0,53.0,36.0,3
5356,71.0,59.0,43.0,3
5357,82.0,70.0,54.0,3
5358,86.0,74.0,58.0,3
5359,74.0,62.0,46.0,3
5360,64.0,55.0,40.0,3
5361,57.0,50.0,34.0,3
5362,62.0,54.0,41.0,3
5363,64.0,56.0,43.0,3
5364,54.0,44.0,32.0,3
5365,52.0,44.0,31.0,3
5366,57.0,48.0,33.0,3
5367,62.0,53.0,38.0,3
5368,74.0,62.0,48.0,3
5369,88.0,76.0,60.0,3
5370,63.0,51.0,35.0,3
5371,48.0,39.0,24.0,3
5372,71.0,64.0,48.0,3
5373,59.0,52.0,36.0,3
5374,60.0,54.0,38.0,3
5375,60.0,50.0,38.0,3
5376,67.0,59.0,46.0,3
5377,84.0,76.0,63.0,3
5378,72.0,63.0,48.0,3
5379,75.0,66.0,49.0,3
5380,92.0,80.0,64.0,3
5381,55.0,46.0,29.0,3
5382,62.0,53.0,38.0,3
5383,55.0,48.0,32.0,3
5384,56.0,50.0,34.0,3
5385,56.0,50.0,34.0,3
5386,63.0,51.0,37.0,3
5387,67.0,57.0,45.0,3
5388,54.0,46.0,33.0,3
5389,71.0,62.0,47.0,3
5390,64.0,55.0,38.0,3
5391,88.0,76.0,60.0,3
5392,71.0,62.0,45.0,3
5393,60.0,51.0,36.0,3
5394,51.0,44.0,28.0,3
5395,61.0,53.0,40.0,3
5396,57.0,49.0,36.0,3
5397,70.0,58.0,44.0,3
5398,71.0,62.0,47.0,3
5399,66.0,59.0,43.0,3
5400,73.0,64.0,47.0,3
5401,69.0,60.0,43.0,3
5402,95.0,84.0,66.0,3
5403,82.0,74.0,55.0,3
5404,58.0,49.0,32.0,3
5405,53.0,46.0,30.0,3
5406,59.0,51.0,38.0,3
5407,60.0,52.0,39.0,3
5408,67.0,55.0,39.0,3
5409,71.0,62.0,45.0,3
5410,75.0,66.0,49.0,3
5411,68.0,59.0,42.0,3
5412,65.0,56.0,39.0,3
5413,86.0,75.0,57.0,3
5414,69.0,61.0,42.0,3
5415,53.0,44.0,27.0,3
5416,68.0,61.0,45.0,3
5417,64.0,54.0,42.0,3
5418,59.0,51.0,38.0,3
5419,80.0,69.0,51.0,3
5420,78.0,66.0,50.0,3
5421,74.0,65.0,48.0,3
5422,65.0,56.0,39.0,3
5423,71.0,62.0,45.0,3
5424,88.0,77.0,59.0,3
5425,72.0,61.0,43.0,3
5426,56.0,47.0,30.0,3
5427,65.0,58.0,40.0,3
5428,59.0,50.0,35.0,3
5429,58.0,50.0,37.0,3
5430,32.0,41.0,40.0,4
5431,43.0,52.0,51.0,4
5432,59.0,65.0,65.0,4
5433,61.0,67.0,67.0,4
5434,49.0,55.0,55.0,4
5435,50.0,56.0,54.0,4
5436,55.0,61.0,59.0,4
5437,33.0,39.0,39.0,4
